詞目id,詞目類型,漢字,羅馬字,分類,羅馬字音檔檔名,又唸作,合音唸作,俗唸作,語音差異,詞彙比較,名,姓,異用字,詞目tuì詞目近義,詞目tuì詞目反義,解說,詞性,例句,例句-華語,例句-音檔,義項tuì義項近義,義項tuì義項反義,義項tuì詞目近義,義項tuì詞目反義
7776,主詞目,粗糠,tshoo-khng,植物形體、狀態,7776(1),,,,,,,,,,,1. (名詞) 稻穀脫下來的外殼，可用來當燃料或覆蓋農作物。,1. 名詞,,,,,,,1. 幼糠
7777,主詞目,細聲,sè-siann/suè-siann,反應、表情,7777(1),,,,,,,,,,,1. (形容詞) 小聲。,1. 形容詞,"1. 講話愛較細聲咧，才袂吵著別人。 (Kóng-uē ài khah sè-siann--leh, tsiah bē tshá-tio̍h pa̍t-lâng.)",1. 講話要小聲一點，才不會去吵到別人。,1. 7777-1-1,,1. 大聲/大細聲,,
7778,主詞目,組織,tsoo-tsit,組織團體,7778(1),,,,,,,,,,,"1. (名詞) 一群人為了達到特定的目標，經由一定程序所組成的團體。
2. (名詞) 生物體內細胞，按一定組合所形成的器官。","1. 名詞
2. 名詞",,,,,,,
7779,主詞目,脣,tûn,生理構造,7779(1),,,,,,,,,,,"1. (名詞) 嘴脣。
2. (名詞) 邊緣突起的部分。","1. 名詞
2. 名詞","1. 含脣 (kâm-tûn)
2-1. 耳仔脣 (hīnn-á-tûn)
2-2. 帽仔脣 (bō-á-tûn)","1. 上嘴脣含住下嘴脣
2-1. 耳緣
2-2. 帽緣","1. 7779-1-1
2-1. 7779-2-1
2-2. 7779-2-2",1. 喙脣,,,
7780,主詞目,脫,thuat(文),,7780(1),,,,,,,,,,,1. (動詞) 脫離。使分離。,1. 動詞,"1. 脫水 (thuat-tsuí)
2. 脫險 (thuat-hiám)","1. 把溼掉的物品的水分瀝乾
2. 脫離危險","1. 7780-1-1
2. 7780-1-2",,,,
7781,主詞目,脫(替),thu̍t,,7781(1),,,,,,,,脫,,,1. (動詞) 脫離。因為動作過大，造成結構鬆動，而使固定架構偏離了原來的位置。通常用在指人體上的器官移位。,1. 動詞,1. 脫輪 (thu̍t-lûn),1. 骨頭移位,1. 7781-1-1,,,,
7782,主詞目,脯,póo,食物、飲料、煙酒,7782(1),,,,,,,,,,,"1. (名詞) 乾製或醃製而成的脫水食品。
2. (形容詞) 乾癟。枯乾而沒有水分。","1. 名詞
2. 形容詞","1-1. 菜脯 (tshài-póo)
1-2. 魚脯 (hî-póo)
2-1. 柑仔脯去矣。 (Kam-á póo--khì--ah.)
2-2. 脯脯無湯 (póo-póo bô thng)","1-1. 蘿蔔乾
1-2. 小魚乾
2-1. 橘子乾癟掉了。
2-2. 乾乾的沒有水分","1-1. 7782-1-1
1-2. 7782-1-2
2-1. 7782-2-1
2-2. 7782-2-2",,,,
7783,主詞目,舂,tsing,"農林業,一般動詞-行為動詞",7783(1),,,,,,,,,,,"1. (動詞) 搗。把穀物用杵臼搗去皮殼。
2. (動詞) 擊打、撞、揍。","1. 動詞
2. 動詞","1. 舂米 (tsing-bí)
2-1. 出力對伊的胸坎舂落去。 (Tshut-la̍t tuì i ê hing-khám tsing--lo̍h-khì.)
2-2. 用別人的拳頭拇舂石獅。 (Iōng pa̍t-lâng ê kûn-thâu-bú tsing tsio̍h-sai.)","1. 把稻穀的外殼去掉，而保留其中的米粒。
2-1. 用力對著他的胸部揍下去。
2-2. 用別人的拳頭去擊打石獅子。比喻借用別人的力量來圖謀自己的利益。","1. 7783-1-1
2-1. 7783-2-1
2-2. 7783-2-2",2. 拍/推/揍/㧌/摁,,,
7784,主詞目,船,tsûn,"漁牧業,體育、運動,休閒、娛樂,旅行",7784(1),,,,,,,,,,,1. (名詞) 泛指在水上航行的交通工具。,1. 名詞,,,,1. 船仔,,,
7785,主詞目,莊,tsng(白),"稱謂輩分,居住環境",7785(1),,,,,,,,,,,"1. (名詞) 做大宗買賣的商號。
2. (名詞) 姓氏。","1. 名詞
2. 名詞",1. 布莊 (pòo-tsng),1. 布莊,1. 7785-1-1,,,,
7786,主詞目,舵公,tāi-kong,服務業及其他,7786(1),,,,,,,,,,,1. (名詞) 船長、舵手。即擺渡者。,1. 名詞,,,,,,,
7787,主詞目,脫手,thuat-tshiú,財務單位、活動,7787(1),,,,,,,,,,,1. (動詞) 轉手賣掉。,1. 動詞,"1. 這台機車猶新新，真好脫手。 (Tsit tâi ki-tshia iáu sin-sin, tsin hó thuat-tshiú.)",1. 這輛機車還蠻新的，很容易轉手。,1. 7787-1-1,1. 賣,,,
7788,主詞目,耞仔,kénn-á/kínn-á,"農林業,生產工具",7788(1),,,,,,,,,,,1. (名詞) 連耞。用以敲打穀物、豆類的農具，用竹、木製成，在頂端穿孔接榫，綁著兩束活動的竹筒。使用時，先把收割下來還連著稻穀的稻子平擺在廣場上，農人拿著連耞在稻穗上拍打，稻穀就會陸續掉落在地上，達到脫穀的目的。,1. 名詞,,,,,,,
7789,主詞目,船主,tsûn-tsú,"泛稱,相關用語",7789(1),,,,,,,,,,,1. (名詞) 船隻的所有人。,1. 名詞,,,,,,,
7790,主詞目,船仔,tsûn-á,交通、運輸,7790(1),,,,,,,,,,,1. (名詞) 船。航行水上的主要交通工具。,1. 名詞,,,,1. 船,,,
7791,主詞目,荷包,hâ-pau,生活用品,7791(1),,,,,,,,,,,1. (名詞) 錢包。,1. 名詞,,,,,,,
7792,主詞目,舂米,tsing-bí,農林業,7792(1),,,,,,,,,,,1. (動詞) 把稻穀放在臼中，擣去皮殼，成為潔淨的白米。,1. 動詞,,,,,,,
7793,主詞目,舂臼,tsing-khū,"農林業,生產工具",7793(1),,,,,,,,,,,1. (名詞) 臼。中間下凹的舂米器具。,1. 名詞,,,,1. 石舂臼,,,
7794,主詞目,船尾,tsûn-bué/tsûn-bé,交通、運輸,7794(1),,,,,,,,,,,1. (名詞) 船的後部。,1. 名詞,,,,,,,
7795,主詞目,脫走,thuat-tsáu,,7795(1),,,,,,,,,,,1. (動詞) 脫逃、溜走。,1. 動詞,1. 昨昏下晡掠著的膨鼠去予伊脫走去！ (Tsa-hng ē-poo lia̍h--tio̍h ê phòng-tshí khì hōo i thuat-tsáu--khì!),1. 昨天下午抓到的松鼠被牠脫逃了！,1. 7795-1-1,,,,
7796,主詞目,脫身,thuat-sin,,7796(1),,,,,,,,,,,1. (動詞) 抽身離開。,1. 動詞,,,,1. 抽退,,,
7797,主詞目,船員,tsûn-uân,"泛稱,相關用語",7797(1),"[{""漢字"": ""船員"", ""羅馬字"": ""tsûn-guân""}]",,,,,,,,,,1. (名詞) 船上除船長以外的所有工作人員。,1. 名詞,,,,1. 行船人,,,
7798,主詞目,脯脯,póo-póo,植物形體、狀態,7798(1),"[{""漢字"": ""脯脯"", ""羅馬字"": ""pôo-pôo""}]",,,,,,,脯脯,,,1. (形容詞) 乾癟、癟癟。物品、植物、蔬果等因為失去水分而乾皺。,1. 形容詞,1. 焦脯脯 (ta-póo-póo),1. 乾癟,1. 7798-1-1,,,,
7799,主詞目,聊聊仔,liâu-liâu-á,副詞,7799(1),,,,,,,,,,,1. (副詞) 慢慢地、謹慎小心地。,1. 副詞,1. 燒茶聊聊仔啉。 (Sio tê liâu-liâu-á lim.),1. 熱茶慢慢喝。,1. 7799-1-1,1. 勻勻仔/沓沓仔/慢慢仔/寬寬仔/勻聊仔,1. 趕緊/緊猛,,
7800,主詞目,船期,tsûn-kî,時間節令,7800(1),,,,,,,,,,,1. (名詞) 開船的日期、時間。,1. 名詞,,,,,,,
7801,主詞目,脫種,thuat-tsíng,"動物形體、行為,植物形體、狀態",7801(1),,,,,,,,,變種,,1. (動詞) 指不同品種的動物或植物雜交，而改變原來的品種。,1. 動詞,,,,,,,
7802,主詞目,船廠,tsûn-tshiúnn,旅運設施,7802(1),,,,,,,,,,,1. (名詞) 造船、修船的工廠。,1. 名詞,,,,,,,
7803,主詞目,脫箠,thut-tshuê/thut-tshê,一般動詞-行為動詞,7803(1),,,,,,,,脫箠,,,1. (動詞) 出差錯、出狀況。個人在無意間出差錯、發生不合常理的行為或狀況。,1. 動詞,"1. 這擺的會議真重要，毋通閣脫箠矣。 (Tsit pái ê huē-gī tsin tiōng-iàu, m̄-thang koh thut-tshuê--ah.)",1. 這次的會議很重要，別再出差錯了。,1. 7803-1-1,1. 重耽/走縒,,1. 出箠,
7804,主詞目,脫線,thuat-suànn,個性風格,7804(1),,,,,,,,,,,1. (形容詞) 罵人個性散漫，做事不積極，如同衣服的縫線脫落一樣。,1. 形容詞,"1. 你是按怎逐擺攏會袂記得，實在有夠脫線。 (Lí sī-án-tsuánn ta̍k-pái lóng ē bē-kì--tit, si̍t-tsāi ū-kàu thuat-suànn.)",1. 你為什麼每次都會忘記，實在很散漫。,1. 7804-1-1,1. 放放/散形,1. 小心,,
7805,主詞目,脫輪,thu̍t-lûn,傷疾病痛,7805(1),,,,,,,,,,,1. (動詞) 脫臼。因為碰撞到關節而使骨頭脫離。,1. 動詞,"1. 伊拍球傷出力，手骨煞脫輪。 (I phah-kiû siunn tshut-la̍t, tshiú-kut suah thu̍t-lûn.)",1. 他打球太用力，手臂意外脫臼。,1. 7805-1-1,,,,
7806,主詞目,船艙,tsûn-tshng,交通、運輸,7806(1),,,,,,,,,船肚,,1. (名詞) 船內部可容納人員或貨物的地方。,1. 名詞,,,,,,,
7807,主詞目,船頭,tsûn-thâu,交通、運輸,7807(1),,,,,,,,,,,1. (名詞) 船隻的前端部位。,1. 名詞,,,,,,,
7808,主詞目,脫離,thuat-lī,,7808(1),"[{""漢字"": ""脫離"", ""羅馬字"": ""thuat-lî""}]",,,,,,,,,,1. (動詞) 離開、逃脫。,1. 動詞,,,,,,,
7809,主詞目,莊嚴,tsong-giâm,,7809(1),,,,,,,,,,,1. (形容詞) 端莊肅穆。,1. 形容詞,,,,1. 威嚴,,,
7810,主詞目,荷蘭豆,huê-liân-tāu,"蔬果作物,食物、飲料、煙酒",7810(1),,,,,,,,,,,1. (名詞) 豌豆。豆類。夏初開蝶形小花，結實成莢，嫩莢及種子皆可食。種子可晒乾磨成粉製餅，莖葉嫩時可食。因為是荷蘭人傳入臺灣，所以稱「荷蘭豆」。,1. 名詞,,,,,,,
7811,主詞目,莢,ngeh,"植物形體、狀態,數詞、量詞",7811(1),,,,"鹿港偏泉腔：gueh
三峽偏泉腔：gereh
臺北偏泉腔：kueh
宜蘭偏漳腔：ngeh
臺南混合腔：ngeh
高雄混合腔：ngeh
金門偏泉腔：ngueh
馬公偏泉腔：kueh
新竹偏泉腔：ngueh
臺中偏漳腔：ngeh",,,,,,,"1. (名詞) 指豆類植物的果實。
2. (量詞) 計算香蕉或豆莢類植物果實的單位。","1. 名詞
2. 量詞","1. 豆莢 (tāu-ngeh)
2. 一莢塗豆 (tsi̍t ngeh thôo-tāu)","1. 豆莢
2. 一莢花生","1. 7811-1-1
2. 7811-2-1",2. 子,,,
7812,主詞目,莫,bo̍k,副詞,7812(1),,,,,,,,,,,1. (副詞) 表示否定的意思。,1. 副詞,"1. 莫非 (bo̍k-hui)
2. 莫怪 (bo̍k-kuài)","1. 難道
2. 難怪","1. 7812-1-1
2. 7812-1-2",,,,
7813,主詞目,莫(替),mài,,7813(1),,,,,,,,莫,,,1. (動詞) 不要。表示禁止或勸阻之意。,1. 動詞,1. 你莫烏白呸喙瀾！ (Lí mài oo-pe̍h phuì tshuì-nuā!),1. 你不要亂吐口水！,1. 7813-1-1,1. 甭,,,
7814,主詞目,蚵(替),ô,"魚蝦海獸,食物、飲料、煙酒",7814(1),,,,"鹿港偏泉腔：ô
三峽偏泉腔：ô
臺北偏泉腔：ô
宜蘭偏漳腔：ô
臺南混合腔：ôr
高雄混合腔：ôr
金門偏泉腔：ô
馬公偏泉腔：ô
新竹偏泉腔：ô
臺中偏漳腔：ô",,,,蚵,,,1. (名詞) 牡蠣。軟體動物。右殼小而且薄，左殼大而且凸，生長於淺海泥沙之中。肉質細嫩鮮美。,1. 名詞,,,,1. 蚵仔,,,
7815,主詞目,蚶,ham,魚蝦海獸,7815(1),,,,,,,,,蛤,,"1. (名詞) 貝類。肉可以食用。生活在淺海泥沙中，可以人工養殖。
2. (名詞) 用來稱呼像貝扇形狀，並且可以開合的東西，尤其是指眼皮部分。","1. 名詞
2. 名詞","1. 血蚶 (hueh-ham)
2. 頂目蚶 (tíng ba̍k-ham)","1. 血蚶
2. 眼瞼","1. 7815-1-1
2. 7815-2-1",1. 粉蟯/蚶仔/蟯/蟯仔,,,
7816,主詞目,蛀,tsiù(白),動物形體、行為,7816(1),,,,,,,,,,,1. (動詞) 指東西被咬壞或被腐蝕。,1. 動詞,"1. 愛食糖仔閣貧惰洗喙，莫怪喙齒蛀幾若空。 (Ài tsia̍h thn̂g-á koh pîn-tuānn sé-tshuì, bo̍k-kuài tshuì-khí tsiù kuí-nā khang.)",1. 愛吃糖又懶得刷牙，難怪牙齒蛀好幾個洞。,1. 7816-1-1,,,,
7817,主詞目,蛆,tshi/tshu,昆蟲類,7817(1),,,,"鹿港偏泉腔：tshir
三峽偏泉腔：tshir
臺北偏泉腔：tshu
宜蘭偏漳腔：tshi
臺南混合腔：tshu
高雄混合腔：tshi
金門偏泉腔：tshir
馬公偏泉腔：tshu
新竹偏泉腔：tshir
臺中偏漳腔：tshi",,,,,,,1. (名詞) 昆蟲名。蚊、蠅的幼蟲。身體柔軟，色白而長，多生活於不潔淨的地方。,1. 名詞,1. 水蛆 (tsuí-tshi),1. 孑孓,1. 7817-1-1,1. 屎礐仔蟲/水蛆/捙蛆,,,
7818,主詞目,蛇,tsuâ(白),爬蟲、兩棲類,7818(1),,,,,,,,,,,1. (名詞) 爬蟲類動物。身體為圓長形，沒有四肢，身上佈有鱗片，舌頭細長而分叉，隨著生長過程會產生蛻皮現象。生殖方式為卵生或卵胎生，分有毒跟無毒二種。十二生肖排序第六的生肖。,1. 名詞,,,,,,,
7819,主詞目,處方,tshú-hng,醫療保健,7819(1),,,,,,,,,,,1. (名詞) 處方箋。醫師針對病人病症所開具有醫療處置的單子。,1. 名詞,,,,,,,
7820,主詞目,蚵仔,ô-á,"魚蝦海獸,食物、飲料、煙酒",7820(1),,,,,,,,蚵仔,,,1. (名詞) 牡蠣、蠔。軟體動物。具雙殼，右殼小而薄，左殼大而凸，產於淺海泥沙中，肉味美，營養豐富。,1. 名詞,,,,1. 蚵,,,
7821,主詞目,蚶仔,ham-á,"魚蝦海獸,食物、飲料、煙酒",7821(1),,,,,,,,,,,1. (名詞) 蛤蜊、文蛤。雙殼貝類。殼外觀略呈三角形，殼表為彩色、褐色或灰白。生於沿海的沙中，以藻類為食。其肉味鮮美，營養豐富，可以人工養殖，為常見食材。,1. 名詞,,,,1. 粉蟯/蚶/蟯/蟯仔,,,
7822,主詞目,蚵仔煎,ô-á-tsian,食物、飲料、煙酒,7822(1),,,,,,,,蚵仔煎,,,1. (名詞) 臺灣著名的小吃。用鮮蚵加上地瓜粉，摻水攪和至濃稀適度，放進平底鍋裡和青菜、雞蛋等一起油煎。,1. 名詞,,,,,,,
7823,主詞目,蚵仔麵線,ô-á-mī-suànn,食物、飲料、煙酒,7823(1),,,,,,,,,,,1. (名詞) 一種地方小吃，將蒸過的土黃色麵線煮成糊狀，加入裹粉略微煮過的青蚵，有時也加入大腸，是十分具有臺灣特色的美味小吃。,1. 名詞,,,,1. 麵線糊,,,
7824,主詞目,蛇瓜,tsuâ-kue,"蔬果作物,食物、飲料、煙酒",7824(1),,,,,,,,,,,1. (名詞) 瓜果類。果實有長條型和扭曲型，長達六十到一百公分，種子為褐色，邊緣有缺刻，有點像苦瓜種子，但較長，與絲瓜種子截然不同。因為扭曲型似蛇狀，所以稱為「蛇瓜」。,1. 名詞,,,,,,,
7825,主詞目,處份,tshú-hūn,,7825(1),,,,,,,,處份,,,1. (名詞) 處罰。,1. 名詞,"1. 你若不時欲做違法的代誌，早慢會予人㨑去接受處份。 (Lí nā put-sî beh tsò uî-huat ê tāi-tsì, tsá-bān ē hōo lâng tsang-khì tsiap-siū tshú-hūn.)",1. 你若常做違法的勾當，遲早會被逮去接受處罰。,1. 7825-1-1,1. 處罰,,,
7826,主詞目,莫怪,bo̍k-kuài,,7826(1),,,,,,,,,袂怪得,,1. (連詞) 難怪、怪不得。,1. 連詞,"1. 原來是欲佮查某囡仔去看電影，莫怪伊喙笑目笑。 (Guân-lâi sī beh kah tsa-bóo gín-á khì khuànn tiān-iánn, bo̍k-kuài i tshuì-tshiò-ba̍k-tshiò.)",1. 原來就是要和女孩子去看電影，怪不得他眉開眼笑。,1. 7826-1-1,,,,
7827,主詞目,莫非,bo̍k-hui,副詞,7827(1),,,,,,,,,,,1. (副詞) 難道。加強語氣的反問詞。,1. 副詞,"1. 莫非代誌是伊做的，無，伊哪會攏無出面？ (Bo̍k-hui tāi-tsì sī i tsò--ê, bô, i ná ē lóng bô tshut-bīn?)",1. 難道事情是他做的，要不然，他怎麼都沒有出面？,1. 7827-1-1,,,,
7828,主詞目,蚵炱,ô-te,食物、飲料、煙酒,7828(1),,,,,,,,蚵炱/蚵炱,,,1. (名詞) 一種油炸的地方小吃，將鮮蠔摻上豆芽菜、韮菜，裹以麵粉漿，下鍋炸成圓扁形，吃的時候沾上醬料，酥脆可口。,1. 名詞,,,,1. 觳仔炱,,,
7829,主詞目,處理,tshú-lí,,7829(1),,,,,,,,,,,1. (動詞) 安排、辦理。,1. 動詞,1. 麻煩你替我處理這件代誌。 (Mâ-huân lí thè guá tshú-lí tsit kiānn tāi-tsì.),1. 麻煩你幫我處理這件事情。,1. 7829-1-1,1. 打揲/料理/處置/解決/辦理/支理,,,
7830,主詞目,莧菜,hīng-tshài,"蔬果作物,食物、飲料、煙酒",7830(1),,,,,,,,,,,1. (名詞) 蔬菜名。莖細長，葉呈菱狀卵圓形，有全綠與帶紅兩種，全綠色稱為「莧菜」，帶有紅色者稱為「紅莧菜」。花黃綠色，莖嫩，葉可食。臺灣常見的蔬菜，主要產地以彰化雲林兩縣為多。,1. 名詞,,,,1. 紅莧菜,,,
7831,主詞目,處置,tshú-tì,,7831(1),,,,,,,,,,,1. (動詞) 安排、處理。,1. 動詞,1. 這件代誌你是欲按怎處置？ (Tsit kiānn tāi-tsì lí sī beh án-tsuánn tshú-tì?),1. 這件事情你要怎麼處理？,1. 7831-1-1,1. 處理,,,
7832,主詞目,處罰,tshú-hua̍t,,7832(1),,,,,,,,,,,1. (動詞) 懲罰。,1. 動詞,,,,1. 治/處份,,,
7833,主詞目,蛀鼻,tsiù-phīnn,傷疾病痛,7833(1),,,,,,,,,,,1. (名詞) 塌鼻。指鼻梁從中間凹陷下去，多半由於細菌感染，如梅毒，結核病所造成。,1. 名詞,,,,,,,
7834,主詞目,蛀齒,tsiù-khí,傷疾病痛,7834(1),,,,,,,,,,,1. (名詞) 蛀牙。,1. 名詞,,,,,,,
7835,主詞目,蛀龜仔,tsiù-ku-á,昆蟲類,7835(1),,,,,,,,,,,1. (名詞) 昆蟲名。專門咬衣服、書籍、木頭、糧食等的小蟲。,1. 名詞,,,,,,,
7836,主詞目,莫講,mài-kóng,連詞、介詞,7836(1),,,,,,,,,,,1. (連詞) 不要說、不用說。,1. 連詞,"1. 莫講大人，這个道理連囡仔都知影。 (Mài-kóng tuā-lâng, tsit ê tō-lí liân gín-á to tsai-iánn.)",1. 不要說大人了，這個道理連小孩子都知道。,1. 7836-1-1,,,,
7837,主詞目,蛀蟲,tsiù-thâng,昆蟲類,7837(1),,,,,,,,,,,1. (名詞) 啃咬木頭、衣物、書籍、穀物等蟲類的總稱。,1. 名詞,"1. 食柴的白蟻、食冊的剪蟲仔、食米的蛀龜攏總叫做蛀蟲。 (Tsia̍h tshâ ê pe̍h-hiā, tsia̍h tsheh ê tsián-thâng-á, tsia̍h bí ê tsiù-ku lóng-tsóng kiò-tsò tsiù-thâng.)",1. 吃木頭的白蟻、吃書的蠹蟲、吃米的米象都叫做蛀蟲。,1. 7837-1-1,,,,
7838,主詞目,術(替),su̍t,一般動詞-行為動詞,7838(1),,,,,,,,,,,1. (動詞) 拐、騙。,1. 動詞,"1. 伊會術人的錢，你愛細膩。 (I ē su̍t lâng ê tsînn, lí ài sè-jī.)",1. 他會拐騙人家的錢，你要小心。,1. 7838-1-1,1. 拐/拐弄/拐騙/諞/騙,,,
7839,主詞目,術,su̍t,"相關用語,文學、藝術",7839(1),,,,,,,,,,,1. (名詞) 專門的技藝或技巧。,1. 名詞,"1. 藝術 (gē-su̍t)
2. 法術 (huat-su̍t)","1. 藝術
2. 法術","1. 7839-1-1
2. 7839-1-2",,,1. 技巧/技藝,
7840,主詞目,袋,tē(白),數詞、量詞,7840(1),,,,"鹿港偏泉腔：těr
三峽偏泉腔：tēr
臺北偏泉腔：tē
宜蘭偏漳腔：tē
臺南混合腔：tē
高雄混合腔：tē
金門偏泉腔：tēr
馬公偏泉腔：tē
新竹偏泉腔：tēr,tē
臺中偏漳腔：tē",,,,,,,"1. (名詞) 裝東西的器物。
2. (動詞) 把東西裝到袋子裡頭。
3. (量詞) 計算袋裝物品的包裝單位量詞。","1. 名詞
2. 動詞
3. 量詞","1. 布袋 (pòo-tē)
2. 伊橐袋仔內有袋錢。 (I lak-tē-á-lāi ū tē tsînn.)
3. 一袋米 (tsi̍t tē bí)","1. 布袋
2. 他口袋裡裝著錢。
3. 一袋米","1. 7840-1-1
2. 7840-2-1
3. 7840-3-1","1. 袋仔
2. 橐",,,
7841,主詞目,袚(替),phua̍h,數詞、量詞,7841(1),,,,,,,,袚,,,"1. (動詞) 披、掛。
2. (量詞) 串、條。計算項鍊等鍊狀物品的單位。
3. (動詞) 交叉相疊。
4. (形容詞) 交叉打結。","1. 動詞
2. 量詞
3. 動詞
4. 形容詞","1. 伊共面巾袚佇肩胛頭。 (I kā bīn-kin phua̍h tī king-kah-thâu.)
2. 一袚珠仔鍊 (tsi̍t phua̍h tsu-á-liān)
3. 跤相袚 (kha sio-phua̍h)
4. 腦筋袚袚 (náu-kin phua̍h-phua̍h)","1. 他把毛巾披掛在肩膀上。
2. 一串珠鍊
3. 蹺腳、雙腿交疊
4. 頭腦打結、不清楚","1. 7841-1-1
2. 7841-2-1
3. 7841-3-1
4. 7841-4-1",,,,
7842,主詞目,被,pī(文),助詞、嘆詞,7842(1),,,,,,,,,,,1. (助詞) 表被動性，用在動詞前構成被動詞組。,1. 助詞,"1. 被告 (pī-kò)
2. 被害人 (pī-hāi-jîn)","1. 被告
2. 被害人","1. 7842-1-1
2. 7842-1-2",,,,
7843,主詞目,被,phuē(白)/phē(白),生活用品,7843(1),,,,"鹿港偏泉腔：phēr
三峽偏泉腔：phēr
臺北偏泉腔：phē
宜蘭偏漳腔：phuē
臺南混合腔：phuē
高雄混合腔：phuē
金門偏泉腔：phēr
馬公偏泉腔：phē
新竹偏泉腔：phēr,phē
臺中偏漳腔：phuē",,,,,被仔,,1. (名詞) 被子。睡覺時用來蓋在身上或墊在床上保暖的物品。,1. 名詞,"1. 眠床頂舒一領被。 (Bîn-tshn̂g-tíng tshu tsi̍t niá phuē.)
2. 蓋被 (kah-phuē)","1. 床鋪上鋪一條被子。
2. 蓋被子","1. 7843-1-1
2. 7843-1-2",,,,
7844,主詞目,規,kui,"教育、學術,法律,性質、程度,一般動詞-行為動詞,事、物泛稱",7844(1),,,,,,,,規,,,"1. (名詞) 畫圓形的器具。
2. (名詞) 法度、條文。
3. (形容詞) 整個。完全的，全部的。
4. (動詞) 規劃。","1. 名詞
2. 名詞
3. 形容詞
4. 動詞","1. 圓規 (înn-kui)
2. 規則 (kui-tsik)
3. 規路攏是人。 (Kui-lōo lóng sī lâng.)","1. 圓規
2. 規則
3. 整條路上都是人。","1. 7844-1-1
2. 7844-2-1
3. 7844-3-1","2. 規則/規矩
3. 一/規个/透",,"2. 條文
3. 整個
4. 規畫",
7845,主詞目,覓(替),bā,一般動詞-行為動詞,7845(1),,,,,,,,,,,1. (動詞) 尋找。,1. 動詞,1. 覓頭路 (bā thâu-lōo),1. 找工作,1. 7845-1-1,1. 揣/搜揣,,,
7846,主詞目,覓(替),māi,一般動詞-行為動詞,7846(1),,,,,,,,,,,1. 動詞後綴。有表示試探的意思。,,"1. 這種茶真甘，你啉看覓。 (Tsit tsióng tê tsin kam, lí lim khuànn-māi.)",1. 這種茶很甘甜，你喝喝看。,1. 7846-1-1,,,,
7847,主詞目,訣,kuat,"語言、文字、符號,事、物泛稱",7847(1),,,,,,,,,,,"1. (名詞) 竅門、方法。
2. (名詞) 容易記憶、誦讀的語句。通常用在協助背誦技巧、資料等等。","1. 名詞
2. 名詞","1-1. 祕訣 (pì-kuat)
1-2. 江湖一點訣，講破毋值三仙錢。 (Kang-ôo tsi̍t tiám kuat, kóng-phuà m̄-ta̍t sann sián tsînn.)
2. 口訣 (kháu-kuat)","1-1. 特殊的技巧或方法
1-2. 江湖上只有一個訣竅，說穿了不值三分錢。
2. 口訣","1-1. 7847-1-1
1-2. 7847-1-2
2. 7847-2-1",1. 方法/要領,,,
7848,主詞目,設,siat,"一般動詞-行為動詞,一般動詞-靜態動詞",7848(1),,,,,,,,,,,"1. (動詞) 建立某種制度或機關單位。
2. (動詞) 布置陷阱或圈套使人上當。","1. 動詞
2. 動詞","1. 伊的工廠設佇越南。 (I ê kang-tshiúnn siat tī Ua̍t-lâm.)
2. 莫來這套，我予你袂設得。 (Mài lâi tsit thò, guá hōo lí bē-siat--tit.)","1. 他的工廠設在越南。
2. 少來這套，我不會上你的當。","1. 7848-1-1
2. 7848-2-1","1. 建立/建置
2. 設局/設計",,,
7849,主詞目,豉(替),sīnn,"醫療保健,飲食行為",7849(1),,,,,,,,,,,"1. (動詞) 把生鮮的食物如蔬果、肉類、海鮮等，醃漬成醃漬品。
2. (形容詞) 形容傷口或眼睛部位受到鹽或藥物刺激的刺痛感。","1. 動詞
2. 形容詞","1-1. 魚仔豉鹽落去煎。 (Hî-á sīnn-iâm lo̍h-khì tsian.)
1-2. 豉鹹菜 (sīnn kiâm-tshài)
2. 空喙抹著藥水會豉。 (Khang-tshuì buah-tio̍h io̍h-tsuí ē sīnn.)","1-1. 魚要醃一點鹽再放下去煎。
1-2. 用鹽來醃漬芥菜
2. 傷口在上藥的時候有刺痛感。","1-1. 7849-1-1
1-2. 7849-1-2
2. 7849-2-1",,,,
